,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
93,Elder Sign: Omens,GAME_BOARD,4.5,9706,3.99,100000,Fantasy Flight Games,https://play.google.com/store/apps/details?id=com.fantasyflightgames.ESAndroid,399000.0
94,Tokaido™,GAME_BOARD,4.2,491,1.99,10000,Funforge Digital,https://play.google.com/store/apps/details?id=com.funforgedigital.tokaido,19900.0
95,Smash Up - The Shufflebuilding Game,GAME_BOARD,3.5,456,3.49,10000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.asmodeedigital.smashup,34900.0
96,Galaxy Trucker,GAME_BOARD,4.8,7702,4.99,50000,CGE digital,https://play.google.com/store/apps/details?id=com.czechgames.galaxytrucker,249500.0
97,Sentinels of the Multiverse,GAME_BOARD,4.5,1052,6.99,10000,Handelabra Games,https://play.google.com/store/apps/details?id=com.handelabra.Sentinels,69900.0
98,Talisman,GAME_BOARD,4.3,7973,3.49,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.nomadgames.talisman,349000.0
99,Mysterium: A Psychic Clue Game,GAME_BOARD,4.4,872,3.49,10000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.asmodeedigital.mysterium,34900.0
100,Exploding Kittens® - Official,GAME_CARD,4.7,32223,1.99,100000,Exploding Kittens,https://play.google.com/store/apps/details?id=com.explodingkittens.projectbombsquad,199000.0
101,Reigns,GAME_CARD,4.7,142473,2.99,500000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.reigns,1495000.0
102,Skip-Bo™,GAME_CARD,4.4,34694,2.99,100000,Magmic Inc,https://play.google.com/store/apps/details?id=com.magmic.skipbo,299000.0
103,Card Wars - Adventure Time,GAME_CARD,4.3,130157,2.99,1000000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.cardwars,2990000.0
104,Reigns: Game of Thrones,GAME_CARD,4.7,8966,3.99,50000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.reignsGot,199500.0
